Malignant Cell,Cluster
N_T_P1212_09532,14
N_T_P1212_09533,14
N_T_P1212_09534,14
N_T_P1212_09535,14
N_T_P1212_09536,14
N_T_P1212_09537,14
N_T_P1212_09539,14
N_T_P1212_09540,14
N_T_P1212_09541,14
N_T_P1212_09544,14
N_T_P1212_09545,14
N_T_P1212_09546,14
N_T_P1212_09547,14
N_T_P1212_09548,14
N_T_P1212_09550,14
N_T_P1212_09551,14
N_T_P1212_09552,14
N_T_P1212_09553,14
N_T_P1212_09554,14
N_T_P1228_11190,14
N_T_P1228_11221,14
N_T_P1228_11269,14
N_T_P1228_11277,14
N_T_P1228_11301,14
N_T_P0104_00002,17
N_T_P0104_00005,17
N_T_P0104_00006,17
N_T_P0104_00009,17
N_T_P0104_00010,17
N_T_P0104_00012,17
N_T_P0104_00013,17
N_T_P0104_00015,17
N_T_P0104_00018,17
N_T_P0104_00023,17
N_T_P0104_00024,17
N_T_P0104_00025,17
N_T_P0104_00028,17
N_T_P0104_00033,17
N_T_P0104_00034,17
N_T_P0104_00035,17
N_T_P0104_00037,17
N_T_P0104_00043,17
N_T_P0104_00050,17
N_T_P0104_00052,17
N_T_P0104_00053,17
N_T_P0104_00054,17
N_T_P0104_00055,17
N_T_P0104_00056,17
N_T_P0104_00057,17
N_T_P0104_00060,17
N_T_P0104_00061,17
N_T_P0104_00063,17
N_T_P0104_00066,17
N_T_P0104_00070,17
N_T_P0104_00071,17
N_T_P0104_00073,17
N_T_P0104_00075,17
N_T_P0104_00076,17
N_T_P0104_00078,17
N_T_P0104_00079,17
N_T_P0104_00083,17
N_T_P0104_00087,17
N_T_P0104_00088,17
N_T_P0104_00091,17
N_T_P0104_00097,17
N_T_P0104_00100,17
N_T_P0104_00103,17
N_T_P0104_00104,17
N_T_P0104_00106,17
N_T_P0104_00112,17
N_T_P0104_00114,17
N_T_P0104_00115,17
N_T_P0104_00120,17
N_T_P0104_00123,17
N_T_P0104_00125,17
N_T_P0104_00126,17
N_T_P0104_00129,17
N_T_P0104_00130,17
N_T_P0104_00131,17
N_T_P0104_00132,17
N_T_P0104_00135,17
N_T_P0104_00136,17
N_T_P0104_00137,17
N_T_P0104_00142,17
N_T_P0104_00143,17
N_T_P0104_00146,17
N_T_P0104_00151,17
N_T_P0104_00153,17
N_T_P0104_00159,17
N_T_P0104_00164,17
N_T_P0104_00177,17
N_T_P0104_00178,17
N_T_P0104_00181,17
N_T_P0104_00183,17
N_T_P0104_00186,17
N_T_P0104_00187,17
N_T_P0104_00191,17
P_N_P0305_00195,17
P_N_P0305_00197,17
P_N_P0305_00201,17
P_N_P0305_00206,17
P_N_P0305_00209,17
N_T_P0411_02789,17
N_T_P0411_02836,17
N_T_P0411_02843,17
